Txn_ID,Value_Date,Channel,Counterparty,Reference,Amount,Currency,Running_Balance
TXN0001,01/04/2026,SUPPLIER-BACS,Bramwell Chemicals,INV-1000,-26511.82,GBP,12373488.18
TXN0002,01/04/2026,SUPPLIER-BACS,Kelvinside Media,INV-1003,-32398.24,GBP,12341089.94
TXN0003,01/04/2026,SUPPLIER-FPS,Eastvale Packaging,INV-1011,-31777.20,GBP,12309312.74
TXN0004,01/04/2026,SUPPLIER-CHAPS,Melbury Cabling,INV-001019,-19204.82,GBP,12290107.92
TXN0005,01/04/2026,SUPPLIER-BACS,Bramwell Chemicals,inv 1030,-1139.25,GBP,12288968.67
TXN0006,01/04/2026,SUPPLIER-FPS,Beckworth Tooling,INV-1038,-2084.68,GBP,12286883.99
TXN0007,01/04/2026,SUPPLIER-CHAPS,Melbury Cabling,INV-1049,-33576.07,GBP,12253307.92
TXN0008,01/04/2026,SUPPLIER-BACS,Ulverston Adhesives,INV-1057,-18975.42,GBP,12234332.50
TXN0009,01/04/2026,SUPPLIER-BACS,Bramwell Chemicals,INV-1060,-36516.36,GBP,12197816.14
TXN0010,01/04/2026,SUPPLIER-FPS,Beckworth Tooling,INV-1068,-22053.45,GBP,12175762.69
TXN0011,01/04/2026,SUPPLIER-CHAPS,Jarrowfield Paper,INV1076,-13488.51,GBP,12162274.18
TXN0012,01/04/2026,SUPPLIER-CHAPS,Melbury Cabling,INV-1079,-20457.27,GBP,12141816.91
TXN0013,01/04/2026,SUPPLIER-FPS,Norhaven Instruments,INV-1095,-3690.39,GBP,12138126.52
TXN0014,01/04/2026,SUPPLIER-CHAPS,Jarrowfield Paper,INV-1106,-8019.91,GBP,12130106.61
TXN0015,01/04/2026,SUPPLIER-FPS,Norhaven Instruments,INV-1125,-12601.77,GBP,12117504.84
TXN0016,01/04/2026,SUPPLIER-CHAPS,Garrowby Textiles,INV-1133,-15787.72,GBP,12101717.12
TXN0017,01/04/2026,SUPPLIER-CHAPS,Jarrowfield Paper,INV-1136,-35884.16,GBP,12065832.96
TXN0018,01/04/2026,SUPPLIER-FPS,Haldane Print & Bind,INV-1152,-21507.21,GBP,12044325.75
TXN0019,01/04/2026,SUPPLIER-CHAPS,Garrowby Textiles,INV-1163,-47898.72,GBP,11996427.03
TXN0020,01/04/2026,CARD-STL,Pinehurst Hotels,CRD59157603,-1566.66,GBP,11994860.37
TXN0021,01/04/2026,CARD-STL,Fairhaven Parking,CRD45302017,-1234.37,GBP,11993626.00
TXN0022,01/04/2026,CARD-STL,Lowfield Hardware,CRD30831394,-565.57,GBP,11993060.43
TXN0023,01/04/2026,CARD-STL,Bellamy Coffee Co,CRD49983061,-3470.51,GBP,11989589.92
TXN0024,01/04/2026,CARD-STL,Fairhaven Parking,CRD95360473,-2764.91,GBP,11986825.01
TXN0025,01/04/2026,CARD-STL,Aeroline Travel,CRD51238396,-2233.53,GBP,11984591.48
TXN0026,01/04/2026,CARD-STL,Inglewood Print Shop,CRD51960786,-2211.50,GBP,11982379.98
TXN0027,01/04/2026,CARD-STL,Inglewood Print Shop,CRD38407727,-3292.28,GBP,11979087.70
TXN0028,01/04/2026,CARD-STL,Aeroline Travel,CRD49727650,-1029.20,GBP,11978058.50
TXN0029,01/04/2026,CARD-STL,Halewood Fuel Services,CRD50058263,-764.10,GBP,11977294.40
TXN0030,01/04/2026,CARD-STL,Crestwood IT Retail,CRD28873047,-3570.86,GBP,11973723.54
TXN0031,01/04/2026,CARD-STL,Aeroline Travel,CRD49246599,-2667.42,GBP,11971056.12
TXN0032,01/04/2026,CARD-STL,Kingsmead Pharmacy,CRD77708830,-996.60,GBP,11970059.52
TXN0033,01/04/2026,CARD-STL,Fairhaven Parking,CRD90287527,-3216.27,GBP,11966843.25
TXN0034,01/04/2026,CARD-STL,Kingsmead Pharmacy,CRD57457405,-2730.19,GBP,11964113.06
TXN0035,01/04/2026,CARD-STL,Kingsmead Pharmacy,CRD87803674,-982.95,GBP,11963130.11
TXN0036,01/04/2026,CARD-STL,Glenmoor Couriers,CRD82214172,-2995.92,GBP,11960134.19
TXN0037,01/04/2026,CARD-STL,Inglewood Print Shop,CRD11332488,-207.52,GBP,11959926.67
TXN0038,01/04/2026,CARD-STL,Jubilee Fitness,CRD66063426,-1949.03,GBP,11957977.64
TXN0039,01/04/2026,CARD-STL,Bellamy Coffee Co,CRD51191597,-2887.49,GBP,11955090.15
TXN0040,01/04/2026,CARD-STL,Norbury Stationers,CRD44331912,-3398.52,GBP,11951691.63
TXN0041,01/04/2026,CARD-STL,Glenmoor Couriers,CRD12613035,-3233.11,GBP,11948458.52
TXN0042,01/04/2026,CARD-STL,Kingsmead Pharmacy,CRD10051517,-2244.04,GBP,11946214.48
TXN0043,01/04/2026,CARD-STL,Inglewood Print Shop,CRD32031865,-594.06,GBP,11945620.42
TXN0044,01/04/2026,CARD-STL,Glenmoor Couriers,CRD87914198,-2503.39,GBP,11943117.03
TXN0045,01/04/2026,CARD-STL,Kingsmead Pharmacy,CRD26852440,-324.52,GBP,11942792.51
TXN0046,01/04/2026,CARD-STL,Hartsmere Catering,CRD90770819,-125.74,GBP,11942666.77
TXN0047,01/04/2026,CARD-STL,Lowfield Hardware,CRD26032917,-2678.22,GBP,11939988.55
TXN0048,01/04/2026,CARD-STL,Norbury Stationers,CRD48238415,-3437.68,GBP,11936550.87
TXN0049,01/04/2026,CARD-STL,Inglewood Print Shop,CRD44286951,-2970.74,GBP,11933580.13
TXN0050,01/04/2026,CARD-STL,Crestwood IT Retail,CRD22709304,-1600.12,GBP,11931980.01
TXN0051,01/04/2026,CARD-STL,Crestwood IT Retail,CRD31338801,-2046.90,GBP,11929933.11
TXN0052,01/04/2026,CARD-STL,Pinehurst Hotels,CRD32023637,-2147.60,GBP,11927785.51
TXN0053,01/04/2026,CARD-STL,Kingsmead Pharmacy,CRD73512497,-625.52,GBP,11927159.99
TXN0054,01/04/2026,CARD-STL,Hartsmere Catering,CRD57442995,-64.61,GBP,11927095.38
TXN0055,01/04/2026,CARD-STL,Glenmoor Couriers,CRD71661555,-868.33,GBP,11926227.05
TXN0056,01/04/2026,CARD-STL,Jubilee Fitness,CRD39607622,-81.37,GBP,11926145.68
TXN0057,01/04/2026,CARD-STL,Cityline Rail,CRD14127452,-1467.26,GBP,11924678.42
TXN0058,01/04/2026,CARD-STL,Glenmoor Couriers,CRD21893412,-3362.09,GBP,11921316.33
TXN0059,01/04/2026,CARD-STL,Elmswood Books,CRD14988583,-3635.42,GBP,11917680.91
TXN0060,01/04/2026,CARD-STL,Bellamy Coffee Co,CRD99761975,-82.19,GBP,11917598.72
TXN0061,01/04/2026,CARD-STL,Halewood Fuel Services,CRD49635483,-2263.68,GBP,11915335.04
TXN0062,01/04/2026,CARD-STL,Kingsmead Pharmacy,CRD32327196,-1225.70,GBP,11914109.34
TXN0063,01/04/2026,CARD-STL,Pinehurst Hotels,CRD51717224,-1338.92,GBP,11912770.42
TXN0064,01/04/2026,CARD-STL,Norbury Stationers,CRD96904444,-2569.22,GBP,11910201.20
TXN0065,01/04/2026,DD-UTIL,Talkline Telecom,DD324863,-237.62,GBP,11909963.58
TXN0066,01/04/2026,DD-UTIL,Northern Grid Power,DD152215,-678.03,GBP,11909285.55
